name,lat,lon
Tijuana Slough,32.557057,-117.132744
Imperial Beach Pier,32.577196,-117.13475
Coronado Beach,32.674437,-117.17421
Sunset Cliffs,32.73693,-117.25718
Ocean Beach Pier,32.750347,-117.25337
Avalanche,32.752669,-117.253314
Mission Beach,32.776636,-117.25514
Pacific Beach Drive,32.791282,-117.25678
Crystal Pier,32.796582,-117.25779
Law Street,32.801375,-117.26074
Old Man's at Tourmaline,32.806048,-117.26479
PB Point,32.806628,-117.26888
Birdrock,32.813094,-117.27381
Windansea,32.82979,-117.28162
Horseshoe,32.838278,-117.28396
La Jolla Shores,32.863,-117.257
Scripps,32.865777,-117.25614
Blacks,32.88338,-117.25571
Torrey Pines State Beach,32.927128,-117.2599
Del Mar,32.95916304183685,-117.26963
Del Mar Rivermouth,32.97527261243354,-117.2721061
Solana Beach,32.98938,-117.2743
Seaside Reef,33.00211185876003,-117.2811
Georges,33.01113550717834,-117.2803053
Cardiff Reef,33.01352178146273,-117.28219
San Elijo State Beach,33.02090944350196,-117.28535
Pipes,33.02460487110932,-117.28879
Swamies,33.03418598,-117.29552
D Street,33.04569760260221,-117.2994
Moonlight State Beach,33.04694255008896,-117.29966
Beacons,33.06526742,-117.30577
Grandview,33.07541383424675,-117.3105
Ponto,33.08685865930869,-117.31532
Terramar Point,33.130343587871906,-117.33668
Tamarack,33.14948101,-117.35029
Carlsbad State Beach,33.15384008522178,-117.35137
"The Rock, Oceanside",33.18195637639852,-117.37531
Forster St. Oceanside,33.18234248788874,-117.37465
Oceanside Pier,33.19477795952803,-117.38667
Oceanside Harbor,33.202391,-117.39475
Trails,33.359416,-117.54168
San Onofre State Beach,33.37261349,-117.56579
Church,33.37962229,-117.57894
Middles,33.38042605929805,-117.58332
Lower Trestles,33.38143999849023,-117.58843
Upper Trestles,33.38445596302903,-117.59445
Cottons,33.39000832738053,-117.59852
San Clemente State Beach,33.40484417640326,-117.60749
T-Street,33.41800974113613,-117.61952
"San Clemente Pier, Northside",33.420192958432395,-117.62105
204s,33.4248,-117.627
Poches,33.4404,-117.646
Doheny State Beach,33.4609858,-117.68535
Strands,33.4663042,-117.71684
Salt Creek,33.475793399792984,-117.72291
Aliso Creek,33.50894790083017,-117.75243
Agate Street,33.5278,-117.773
Brooks Street,33.53265918,-117.77764
